,Run,Sample Characteristic[cell line],Sample Characteristic Ontology Term[cell line],Sample Characteristic[disease],Sample Characteristic Ontology Term[disease],Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Factor Value[cell line],Factor Value Ontology Term[cell line],Factor Value[disease],Factor Value Ontology Term[disease],Analysed,organ
HCC-78,run_HCC_78.3,HCC-78,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC-78,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
HCC-95,run_HCC_95.3,HCC-95,NA,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC-95,NA,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
HCC1143,run_HCC1143.2,HCC1143,http://www.ebi.ac.uk/efo/EFO_0001169,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1143,http://www.ebi.ac.uk/efo/EFO_0001169,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC1187,run_HCC1187.2,HCC1187,http://www.ebi.ac.uk/efo/EFO_0001170,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1187,http://www.ebi.ac.uk/efo/EFO_0001170,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC1395,run_HCC1395.2,HCC1395,http://www.ebi.ac.uk/efo/EFO_0002185,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1395,http://www.ebi.ac.uk/efo/EFO_0002185,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC1419,run_HCC1419.5,HCC1419,http://www.ebi.ac.uk/efo/EFO_0005372,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1419,http://www.ebi.ac.uk/efo/EFO_0005372,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC1428,run_HCC1428.1,HCC1428,http://www.ebi.ac.uk/efo/EFO_0001171,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1428,http://www.ebi.ac.uk/efo/EFO_0001171,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Yes,breast
HCC1500,run_HCC1500.1,HCC1500,http://www.ebi.ac.uk/efo/EFO_0001172,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1500,http://www.ebi.ac.uk/efo/EFO_0001172,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC1569,run_HCC1569.1,HCC1569,http://www.ebi.ac.uk/efo/EFO_0001173,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1569,http://www.ebi.ac.uk/efo/EFO_0001173,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC1599,run_HCC1599.1,HCC1599,http://www.ebi.ac.uk/efo/EFO_0002186,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1599,http://www.ebi.ac.uk/efo/EFO_0002186,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC1806,run_HCC1806.1,HCC1806,http://www.ebi.ac.uk/efo/EFO_0005373,"squamous cell breast carcinoma, acantholytic variant",http://www.ebi.ac.uk/efo/EFO_1001969,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1806,http://www.ebi.ac.uk/efo/EFO_0005373,"squamous cell breast carcinoma, acantholytic variant",http://www.ebi.ac.uk/efo/EFO_1001969,Yes,breast
HCC1937,run_HCC1937.3,HCC1937,http://www.ebi.ac.uk/efo/EFO_0001174,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1937,http://www.ebi.ac.uk/efo/EFO_0001174,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC1954,run_HCC1954.2,HCC1954,http://www.ebi.ac.uk/efo/EFO_0001175,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC1954,http://www.ebi.ac.uk/efo/EFO_0001175,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC202,run_HCC202.3,HCC202,http://www.ebi.ac.uk/efo/EFO_0001176,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC202,http://www.ebi.ac.uk/efo/EFO_0001176,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC2157,run_HCC2157.3,HCC2157,http://www.ebi.ac.uk/efo/EFO_0001177,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC2157,http://www.ebi.ac.uk/efo/EFO_0001177,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC2218,run_HCC2218.5,HCC2218,http://www.ebi.ac.uk/efo/EFO_0002187,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC2218,http://www.ebi.ac.uk/efo/EFO_0002187,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC2935,run_HCC2935.3,HCC2935,http://www.ebi.ac.uk/efo/EFO_0005375,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC2935,http://www.ebi.ac.uk/efo/EFO_0005375,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
HCC38,run_HCC38.3,HCC38,http://www.ebi.ac.uk/efo/EFO_0001180,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC38,http://www.ebi.ac.uk/efo/EFO_0001180,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC4006,run_HCC4006.3,HCC4006,http://www.ebi.ac.uk/efo/EFO_0003132,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC4006,http://www.ebi.ac.uk/efo/EFO_0003132,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
HCC70,run_HCC70.2,HCC70,http://www.ebi.ac.uk/efo/EFO_0001181,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC70,http://www.ebi.ac.uk/efo/EFO_0001181,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
HCC827,run_HCC827.2,HCC827,http://www.ebi.ac.uk/efo/EFO_0003137,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCC827,http://www.ebi.ac.uk/efo/EFO_0003137,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
HCT 116,run_HCT_116.2,HCT 116,http://www.ebi.ac.uk/efo/EFO_0002824,colon carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCT 116,http://www.ebi.ac.uk/efo/EFO_0002824,colon carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
HCT-15,run_HCT_15.2,HCT-15,http://www.ebi.ac.uk/efo/EFO_0002188,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HCT-15,http://www.ebi.ac.uk/efo/EFO_0002188,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
HD-MY-Z,run_HD_MY_Z.5,HD-MY-Z,NA,Hodgkins lymphoma,http://www.ebi.ac.uk/efo/EFO_0000183,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HD-MY-Z,NA,Hodgkins lymphoma,http://www.ebi.ac.uk/efo/EFO_0000183,Yes,other
HDQ-P1,run_HDQ_P1.3,HDQ-P1,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HDQ-P1,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
HEC-1-A,run_HEC_1_A.2,HEC-1-A,http://www.ebi.ac.uk/efo/EFO_0002191,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEC-1-A,http://www.ebi.ac.uk/efo/EFO_0002191,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
HEC-1-B,run_HEC_1_B.3,HEC-1-B,http://www.ebi.ac.uk/efo/EFO_0002192,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEC-1-B,http://www.ebi.ac.uk/efo/EFO_0002192,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
HEC-108,run_HEC_108.3,HEC-108,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEC-108,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
HEC-151,run_HEC_151.3,HEC-151,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEC-151,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
HEC-251,run_HEC_251.3,HEC-251,NA,endometrial carcinoma,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEC-251,NA,endometrial carcinoma,NA,Yes,other
HEC-265,run_HEC_265.3,HEC-265,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEC-265,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
HEC-50B,run_HEC_50B.3,HEC-50B,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEC-50B,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
HEC-59,run_HEC_59.3,HEC-59,NA,endometrial carcinoma,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEC-59,NA,endometrial carcinoma,NA,Yes,other
HEC-6,run_HEC_6.3,HEC-6,NA,"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",http://www.ebi.ac.uk/efo/EFO_1001953,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEC-6,NA,"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",http://www.ebi.ac.uk/efo/EFO_1001953,Yes,other
HEL 92.1.7,run_HEL_92.1.7.2,HEL 92.1.7,NA,erythroleukemia,http://www.ebi.ac.uk/efo/EFO_0000218,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEL 92.1.7,NA,erythroleukemia,http://www.ebi.ac.uk/efo/EFO_0000218,Yes,other
HEL,run_HEL.3,HEL,http://www.ebi.ac.uk/efo/EFO_0006579,erythroleukemia,http://www.ebi.ac.uk/efo/EFO_0000218,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HEL,http://www.ebi.ac.uk/efo/EFO_0006579,erythroleukemia,http://www.ebi.ac.uk/efo/EFO_0000218,Yes,other
HGC-27,run_HGC_27.5,HGC-27,http://www.ebi.ac.uk/efo/EFO_0006581,gastric carcinoma,http://www.ebi.ac.uk/efo/EFO_0000178,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HGC-27,http://www.ebi.ac.uk/efo/EFO_0006581,gastric carcinoma,http://www.ebi.ac.uk/efo/EFO_0000178,Yes,other
HH,run_HH.3,HH,NA,cutaneous T-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0002913,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HH,NA,cutaneous T-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0002913,Yes,other
HL-60,run_HL_60.2,HL-60,http://www.ebi.ac.uk/efo/EFO_0002793,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HL-60,http://www.ebi.ac.uk/efo/EFO_0002793,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Yes,other
HLF,run_HLF.2,HLF,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HLF,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
HLF-a,run_HLF_a.3,HLF-a,NA,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HLF-a,NA,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
HMC-1-8,run_HMC_1_8.3,HMC-1-8,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HMC-1-8,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
HMCB,run_HMCB.3,HMCB,http://www.ebi.ac.uk/efo/EFO_0002195,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HMCB,http://www.ebi.ac.uk/efo/EFO_0002195,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
HOP-62,run_HOP_62.3,HOP-62,http://www.ebi.ac.uk/efo/EFO_0006439,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HOP-62,http://www.ebi.ac.uk/efo/EFO_0006439,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
HOP-62-v1,run_HOP_62.1,HOP-62-v1,NA,stomach adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HOP-62-v1,NA,stomach adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Yes,other
HOP-92,run_HOP_92.3,HOP-92,http://www.ebi.ac.uk/efo/EFO_0006440,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HOP-92,http://www.ebi.ac.uk/efo/EFO_0006440,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
HOS,run_HOS.3,HOS,http://www.ebi.ac.uk/efo/EFO_0002196,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HOS,http://www.ebi.ac.uk/efo/EFO_0002196,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Yes,other
HPAC,run_HPAC.2,HPAC,http://www.ebi.ac.uk/efo/EFO_0002197,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HPAC,http://www.ebi.ac.uk/efo/EFO_0002197,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
HPAF-II,run_HPAF_II.2,HPAF-II,http://www.ebi.ac.uk/efo/EFO_0002198,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HPAF-II,http://www.ebi.ac.uk/efo/EFO_0002198,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Yes,pancreas
HPB-ALL,run_HPB_ALL.3,HPB-ALL,NA,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HPB-ALL,NA,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Yes,other
HSC-2,run_HSC_2.3,HSC-2,NA,oral squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000199,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HSC-2,NA,oral squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000199,Yes,other
HSC-3,run_HSC_3.2,HSC-3,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HSC-3,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
HSC-4,run_HSC_4.3,HSC-4,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HSC-4,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
HT,run_HT.3,HT,NA,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HT,NA,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
HT-1080,run_HT_1080.3,HT-1080,http://www.ebi.ac.uk/efo/EFO_0002059,fibrosarcoma,http://www.ebi.ac.uk/efo/EFO_0002087,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HT-1080,http://www.ebi.ac.uk/efo/EFO_0002059,fibrosarcoma,http://www.ebi.ac.uk/efo/EFO_0002087,Yes,other
HT-1197,run_HT_1197.2,HT-1197,http://www.ebi.ac.uk/efo/EFO_0002202,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HT-1197,http://www.ebi.ac.uk/efo/EFO_0002202,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
HT-1376,run_HT_1376.3,HT-1376,http://www.ebi.ac.uk/efo/EFO_0002203,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HT-1376,http://www.ebi.ac.uk/efo/EFO_0002203,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
HT-144,run_HT_144.3,HT-144,http://www.ebi.ac.uk/efo/EFO_0006443,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HT-144,http://www.ebi.ac.uk/efo/EFO_0006443,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
HT-29,run_HT_29.5,HT-29,http://www.ebi.ac.uk/efo/EFO_0001193,rectosigmoid adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001966,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HT-29,http://www.ebi.ac.uk/efo/EFO_0001193,rectosigmoid adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001966,Yes,other
HT115,run_HT115.1,HT115,http://www.ebi.ac.uk/efo/EFO_0006442,colon carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HT115,http://www.ebi.ac.uk/efo/EFO_0006442,colon carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
HT55,run_HT55.1,HT55,http://www.ebi.ac.uk/efo/EFO_0006444,colon carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HT55,http://www.ebi.ac.uk/efo/EFO_0006444,colon carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
HUP-T3,run_HUP_T3.3,HUP-T3,http://www.ebi.ac.uk/efo/EFO_0006596,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HUP-T3,http://www.ebi.ac.uk/efo/EFO_0006596,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
HUP-T4,run_HUP_T4.5,HUP-T4,http://www.ebi.ac.uk/efo/EFO_0002208,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HUP-T4,http://www.ebi.ac.uk/efo/EFO_0002208,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
Hep 3B2.1-7,run_Hep_3B2.1_7.3,Hep 3B2.1-7,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hep 3B2.1-7,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
Hep G2,run_Hep_5,Hep G2,http://www.ebi.ac.uk/efo/EFO_0001187,hepatoblastoma,http://www.ebi.ac.uk/efo/EFO_1000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hep G2,http://www.ebi.ac.uk/efo/EFO_0001187,hepatoblastoma,http://www.ebi.ac.uk/efo/EFO_1000292,Yes,liver
Hey-A8,run_Hey_A8.2,Hey-A8,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hey-A8,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
Hs 172.T,run_Hs_172.T.3,Hs 172.T,NA,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 172.T,NA,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
Hs 229.T,run_Hs_229.T.3,Hs 229.T,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 229.T,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
Hs 255.T,run_Hs_255.T.3,Hs 255.T,http://www.ebi.ac.uk/efo/EFO_0006584,colorectal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 255.T,http://www.ebi.ac.uk/efo/EFO_0006584,colorectal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
Hs 281.T,run_Hs_281.T.3,Hs 281.T,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 281.T,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
Hs 294T,run_Hs_294T.3,Hs 294T,http://www.ebi.ac.uk/efo/EFO_0006585,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 294T,http://www.ebi.ac.uk/efo/EFO_0006585,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
Hs 343.T,run_Hs_343.T.3,Hs 343.T,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 343.T,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
Hs 578T,run_Hs_578T.3,Hs 578T,http://www.ebi.ac.uk/efo/EFO_0001192,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 578T,http://www.ebi.ac.uk/efo/EFO_0001192,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Yes,breast
Hs 600.T,run_Hs_600.T.3,Hs 600.T,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 600.T,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
Hs 606.T,run_Hs_606.T.3,Hs 606.T,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 606.T,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
Hs 611.T,run_Hs_611.T.3,Hs 611.T,NA,Hodgkins lymphoma,http://www.ebi.ac.uk/efo/EFO_0000183,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 611.T,NA,Hodgkins lymphoma,http://www.ebi.ac.uk/efo/EFO_0000183,Yes,other
Hs 616.T,run_Hs_616.T.3,Hs 616.T,NA,Hodgkins lymphoma,http://www.ebi.ac.uk/efo/EFO_0000183,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 616.T,NA,Hodgkins lymphoma,http://www.ebi.ac.uk/efo/EFO_0000183,Yes,other
Hs 618.T,run_Hs_618.T.3,Hs 618.T,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 618.T,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
