Gene,Drug,test.ROC.AUC,Varimp.Score
APOL6,Birinapant,1,82.79404249
BIRC5,Birinapant,1,82.79404249
CKS2,Birinapant,1,82.79404249
DCP1A,Birinapant,1,100
FBL,Birinapant,1,82.79404249
HSPE1,Birinapant,1,82.79404249
MAD2L1,Birinapant,1,82.79404249
MAFF,Birinapant,1,91.39702125
MCL1,Birinapant,1,98.49076399
PDK1,Birinapant,1,82.79404249
PSMB2,Birinapant,1,82.79404249
SF3A1,Birinapant,1,82.79404249
STAG1,Birinapant,1,98.49076399
STC1,Birinapant,1,82.79404249
TIPIN,Birinapant,1,82.79404249
TLR3,Birinapant,1,82.79404249
TOMM40,Birinapant,1,82.79404249
UNG,Birinapant,1,82.79404249
APLP1,Birinapant,0.892857143,82.79404249
BCL10,Birinapant,0.892857143,82.79404249
BRMS1L,Birinapant,0.892857143,82.79404249
COL12A1,Birinapant,0.892857143,82.79404249
CXCL2,Birinapant,0.892857143,82.79404249
DPYSL3,Birinapant,0.892857143,82.79404249
FERMT2,Birinapant,0.892857143,82.79404249
GINS3,Birinapant,0.892857143,82.79404249
IL1B,Birinapant,0.892857143,82.79404249
MRPS30,Birinapant,0.892857143,82.79404249
MT2A,Birinapant,0.892857143,82.79404249
MTA1,Birinapant,0.892857143,82.79404249
MTRR,Birinapant,0.892857143,82.79404249
NDUFS6,Birinapant,0.892857143,82.79404249
NUSAP1,Birinapant,0.892857143,82.79404249
PSME1,Birinapant,0.892857143,82.79404249
TCP1,Birinapant,0.892857143,82.79404249
TFPI,Birinapant,0.892857143,82.79404249
CCNG2,Birinapant,0.857142857,84.06274775
FYN,Birinapant,0.857142857,100
RPL36,Birinapant,0.857142857,84.06274775
RPLP0,Birinapant,0.857142857,84.06274775
SERPINE1,Birinapant,0.857142857,84.06274775
TDRD7,Birinapant,0.857142857,84.06274775
BCAN,Birinapant,1,82.79404249
CCR7,Birinapant,1,82.79404249
CTHRC1,Birinapant,1,82.79404249
FDX1,Birinapant,1,82.79404249
GAPDH,Birinapant,1,98.49076399
JUN,Birinapant,1,82.79404249
PGK1,Birinapant,1,82.79404249
PML,Birinapant,1,82.79404249
SLC2A1,Birinapant,1,82.79404249
TNIP1,Birinapant,1,82.79404249
ATP6V0D1,Birinapant,1,84.06274775
ERRFI1,Birinapant,1,84.06274775
NDUFB8,Birinapant,1,84.06274775
PSME2,Birinapant,1,84.06274775
RAD21,Birinapant,1,100
RRM2,Birinapant,1,100
SDHC,Birinapant,1,84.06274775
STIL,Birinapant,1,84.06274775
UBE2C,Birinapant,1,84.06274775
WRAP73,Birinapant,1,84.06274775
RFC4,Birinapant,1,86.43287269
SF3B3,Birinapant,1,86.43287269
SNTB1,Birinapant,1,86.43287269
SOCS3,Birinapant,1,100
TGFB1,Birinapant,1,86.43287269
CAV1,Birinapant,0.928571429,82.79404249
COPA,Birinapant,0.928571429,82.79404249
FOSB,Birinapant,0.928571429,82.79404249
PIAS3,Birinapant,0.928571429,82.79404249
PNP,Birinapant,0.928571429,82.79404249
PNPT1,Birinapant,0.928571429,82.79404249
TP53,Birinapant,0.928571429,82.79404249
ATP6V0C,Birinapant,1,89.38220746
UQCRH,Birinapant,1,88.033219
ACP1,Birinapant,0.928571429,88.033219
MAGI2,Birinapant,0.928571429,89.38220746
BDNF,Birinapant,1,85.3198951
CDKN1A,Birinapant,1,85.3198951
DEK,Birinapant,1,85.3198951
HMBS,Birinapant,1,85.3198951
HSP90AB1,Birinapant,1,85.3198951
NDUFS3,Birinapant,1,85.3198951
NUDT15,Birinapant,1,85.3198951
UPP1,Birinapant,1,85.3198951
CCNA2,Birinapant,0.928571429,100
HSD17B10,Birinapant,0.928571429,82.79404249
IFI35,Birinapant,0.928571429,98.49076399
ST6GALNAC2,Birinapant,0.928571429,82.79404249
UBE2L6,Birinapant,0.928571429,98.49076399
AKT3,Birinapant,0.928571429,86.97302264
ALAS1,Birinapant,0.928571429,88.30576504
CLU,Birinapant,0.928571429,86.97302264
ACSL3,Birinapant,1,82.79404249
CD9,Birinapant,1,82.79404249
CORO1A,Birinapant,1,98.49076399
EDC4,Birinapant,1,82.79404249
EIF4G1,Birinapant,1,82.79404249
EXOSC7,Birinapant,1,82.79404249
FSTL3,Birinapant,1,82.79404249
IL15,Birinapant,1,82.79404249
KLF6,Birinapant,1,82.79404249
LAMC1,Birinapant,1,82.79404249
LAMC2,Birinapant,1,82.79404249
NRP1,Birinapant,1,82.79404249
PKP3,Birinapant,1,82.79404249
PLEK2,Birinapant,1,96.98152798
PTTG1,Birinapant,1,82.79404249
RDH11,Birinapant,1,82.79404249
RNF144B,Birinapant,1,82.79404249
RPL22,Birinapant,1,82.79404249
SYNE1,Birinapant,1,82.79404249
TRIM29,Birinapant,1,82.79404249
DLD,Birinapant,0.928571429,85.3198951
KIF11,Birinapant,0.928571429,100
KIF20B,Birinapant,0.928571429,85.3198951
NUFIP1,Birinapant,0.928571429,98.71232142
ODF2,Birinapant,0.928571429,85.3198951
PDS5B,Birinapant,0.928571429,85.3198951
SMC2,Birinapant,0.928571429,98.71232142
TPX2,Birinapant,0.928571429,85.3198951
YIF1A,Birinapant,0.928571429,85.3198951
ADAR,Birinapant,0.857142857,85.12839665
CLTB,Birinapant,0.857142857,85.12839665
FARSA,Birinapant,0.857142857,85.12839665
HMGA1,Birinapant,0.857142857,85.12839665
IL4R,Birinapant,0.857142857,85.12839665
PSMD8,Birinapant,0.857142857,100
SGMS2,Birinapant,0.857142857,98.69552396
WNT5A,Birinapant,0.857142857,85.12839665
COX4I1,Birinapant,1,83.93374153
NR4A1,Birinapant,1,83.93374153
PPIF,Birinapant,1,83.93374153
TARDBP,Birinapant,1,83.93374153
ADM,Birinapant,0.857142857,82.79404249
APEX1,Birinapant,0.857142857,82.79404249
C1QBP,Birinapant,0.857142857,82.79404249
ETFB,Birinapant,0.857142857,82.79404249
HRAS,Birinapant,0.857142857,82.79404249
ID2,Birinapant,0.857142857,82.79404249
MCM5,Birinapant,0.857142857,82.79404249
POLD1,Birinapant,0.857142857,82.79404249
PRDX4,Birinapant,0.857142857,98.49076399
RNPS1,Birinapant,0.857142857,82.79404249
RPS5,Birinapant,0.857142857,82.79404249
RUVBL2,Birinapant,0.857142857,82.79404249
SLC16A1,Birinapant,0.857142857,82.79404249
SLC25A3,Birinapant,0.857142857,82.79404249
TACC3,Birinapant,0.857142857,100
ATP6V1G1,Birinapant,1,88.30576504
NDUFS4,Birinapant,1,100
NME1,Birinapant,1,86.97302264
DAPP1,Birinapant,0.857142857,85.3198951
FGF2,Birinapant,0.857142857,85.3198951
KRT19,Birinapant,0.857142857,85.3198951
MAP7,Birinapant,0.857142857,85.3198951
MYH9,Birinapant,0.857142857,100
PDGFB,Birinapant,0.857142857,85.3198951
PMP22,Birinapant,0.857142857,85.3198951
VAMP5,Birinapant,0.857142857,85.3198951
ZNF185,Birinapant,0.857142857,85.3198951
CALB2,Birinapant,1,82.79404249
CCNE1,Birinapant,1,82.79404249
E2F2,Birinapant,1,82.79404249
HPRT1,Birinapant,1,82.79404249
MYBL2,Birinapant,1,82.79404249
RFC3,Birinapant,1,100
RHBDF2,Birinapant,1,82.79404249
RRP9,Birinapant,1,82.79404249
AMD1,Birinapant,0.857142857,82.79404249
ASS1,Birinapant,0.857142857,82.79404249
CASP1,Birinapant,0.857142857,82.79404249
COX11,Birinapant,0.857142857,82.79404249
FDXR,Birinapant,0.857142857,82.79404249
IMP4,Birinapant,0.857142857,82.79404249
LSM7,Birinapant,0.857142857,82.79404249
NCBP1,Birinapant,0.857142857,100
RRP12,Birinapant,0.857142857,82.79404249
RRP8,Birinapant,0.857142857,96.98152798
SRSF7,Birinapant,0.857142857,82.79404249
TBRG4,Birinapant,0.857142857,82.79404249
UCK2,Birinapant,0.857142857,82.79404249
VDAC2,Birinapant,0.857142857,82.79404249
ANXA1,Birinapant,0.857142857,82.79404249
COL6A2,Birinapant,0.857142857,82.79404249
COX7A2L,Birinapant,0.857142857,82.79404249
EDIL3,Birinapant,0.857142857,82.79404249
GOT1,Birinapant,0.857142857,82.79404249
INCENP,Birinapant,0.857142857,82.79404249
ITGB4,Birinapant,0.857142857,82.79404249
LAP3,Birinapant,0.857142857,100
MTHFD2L,Birinapant,0.857142857,82.79404249
PHB2,Birinapant,0.857142857,82.79404249
RAN,Birinapant,0.857142857,82.79404249
RCL1,Birinapant,0.857142857,82.79404249
RPA2,Birinapant,0.857142857,82.79404249
RPS3,Birinapant,0.857142857,82.79404249
SFN,Birinapant,0.857142857,82.79404249
SMC6,Birinapant,0.857142857,82.79404249
SSB,Birinapant,0.857142857,82.79404249
TCOF1,Birinapant,0.857142857,82.79404249
ZBTB17,Birinapant,0.857142857,82.79404249
NDUFB4,Birinapant,1,84.15701143
TXNL4A,Birinapant,1,98.61031803
ADAM8,Birinapant,0.928571429,82.79404249
BHLHE40,Birinapant,0.928571429,100
MAOA,Birinapant,0.928571429,82.79404249
OGDH,Birinapant,0.928571429,82.79404249
PRIM2,Birinapant,0.928571429,100
RBL1,Birinapant,0.928571429,100
SLC1A1,Birinapant,0.928571429,82.79404249
TNFSF15,Birinapant,0.928571429,82.79404249
GINS2,Birinapant,0.857142857,100
CASP4,Birinapant,1,82.79404249
EMP2,Birinapant,1,98.49076399
LOXL1,Birinapant,1,82.79404249
PEX14,Birinapant,1,82.79404249
PLAT,Birinapant,1,82.79404249
PROCR,Birinapant,1,100
PSMC3IP,Birinapant,1,88.69125644
SDHB,Birinapant,1,88.69125644
NDUFA9,Birinapant,0.857142857,82.20851722
SRM,Birinapant,0.857142857,89.9466045
UBE2S,Birinapant,1,88.55888779
FOSL1,Birinapant,1,82.79404249
LPAR1,Birinapant,1,82.79404249
THSD4,Birinapant,1,82.79404249
GJB3,Birinapant,1,85.12839665
IRF1,Birinapant,1,85.12839665
LXN,Birinapant,1,98.69552396
RAB17,Birinapant,1,85.12839665
BASP1,Birinapant,0.857142857,82.79404249
CADM1,Birinapant,0.857142857,82.79404249
CD47,Birinapant,0.857142857,100
ID3,Birinapant,0.857142857,100
KLF9,Birinapant,0.857142857,96.98152798
RANBP1,Birinapant,0.857142857,82.79404249
RACGAP1,Birinapant,0.928571429,84.06274775
COX6A1,Birinapant,0.857142857,90.97773682
DDX10,Birinapant,0.857142857,84.95149622
PPARG,Birinapant,0.857142857,92.25985539
EREG,Birinapant,1,82.79404249
F2RL1,Birinapant,1,82.79404249
IRS2,Birinapant,1,82.79404249
NDUFS7,Birinapant,1,82.79404249
PLA2G4A,Birinapant,1,82.79404249
SERPINA1,Birinapant,1,82.79404249
TGFA,Birinapant,1,82.79404249
KIF4A,Birinapant,0.928571429,82.79404249
NOG,Birinapant,0.928571429,82.79404249
SNRPD1,Birinapant,0.928571429,82.79404249
EIF2AK2,Birinapant,0.857142857,82.79404249
EIF2S1,Birinapant,0.857142857,82.79404249
ERH,Birinapant,0.857142857,82.79404249
FSTL1,Birinapant,0.857142857,82.79404249
IFIH1,Birinapant,0.857142857,82.79404249
OAT,Birinapant,0.857142857,82.79404249
STAT2,Birinapant,0.857142857,82.79404249
FKBP4,Birinapant,0.892857143,84.15701143
GPX3,Birinapant,0.892857143,84.15701143
LTA4H,Birinapant,0.892857143,84.15701143
PRPS1,Birinapant,0.892857143,84.15701143
SFPQ,Birinapant,0.892857143,84.15701143
AKT2,Birinapant,1,82.79404249
IFI30,Birinapant,1,82.79404249
TGFB3,Birinapant,1,88.033219
UBE2T,Birinapant,1,88.033219
HMGN2,Birinapant,1,83.93374153
PDHA1,Birinapant,1,83.93374153
SAMD9,Birinapant,0.928571429,82.79404249
TES,Birinapant,0.928571429,100
UQCR10,Birinapant,0.928571429,82.79404249
ENO2,Bleomycin,0.888888889,87.74095194
ETS1,Bleomycin,0.888888889,88.99513031
P4HA2,Bleomycin,0.888888889,88.99513031
PMP22,Bleomycin,0.888888889,88.99513031
PTS,Bleomycin,0.888888889,100
RAB40C,Bleomycin,0.888888889,87.74095194
RRAGD,Bleomycin,0.888888889,86.48677357
SERPINE1,Bleomycin,0.888888889,88.99513031
SYNJ2,Bleomycin,0.888888889,88.99513031
VCAN,Bleomycin,0.888888889,88.99513031
ABCC3,Bleomycin,0.833333333,84.06274775
APP,Bleomycin,0.833333333,84.06274775
CHST3,Bleomycin,0.833333333,100
DAB2,Bleomycin,0.833333333,84.06274775
DTNA,Bleomycin,0.833333333,84.06274775
EFEMP2,Bleomycin,0.833333333,84.06274775
ELF1,Bleomycin,0.833333333,84.06274775
EMP2,Bleomycin,0.833333333,84.06274775
PEMT,Bleomycin,0.833333333,92.79755537
SMOX,Bleomycin,0.833333333,84.06274775
TFPI,Bleomycin,0.833333333,84.06274775
TPM1,Bleomycin,0.833333333,84.06274775
PIDD1,Bleomycin,1,84.73734188
SERPINA1,Bleomycin,1,100
CACNA2D2,Bleomycin,0.888888889,81.28069133
FOXC1,Bleomycin,0.888888889,82.36938188
KRT17,Bleomycin,0.888888889,82.36938188
MAFF,Bleomycin,0.888888889,100
XBP1,Bleomycin,0.888888889,82.36938188
ABCC1,Bleomycin,0.833333333,90.79747043
ADORA2B,Bleomycin,0.833333333,90.79747043
CD44,Bleomycin,0.833333333,100
CDK13,Bleomycin,0.833333333,89.62829085
DEPTOR,Bleomycin,0.833333333,100
DPP4,Bleomycin,0.833333333,98.94348727
PDK4,Bleomycin,0.833333333,89.62829085
ZFP36,Bleomycin,0.833333333,90.79747043
ERCC5,Bleomycin,0.944444444,84.15701143
GYS1,Bleomycin,0.944444444,84.15701143
HNF4A,Bleomycin,0.944444444,84.15701143
IGFBP3,Bleomycin,0.944444444,84.15701143
LOXL2,Bleomycin,0.944444444,100
MIF,Bleomycin,0.944444444,84.15701143
PTPN21,Bleomycin,0.944444444,84.15701143
SESN1,Bleomycin,0.944444444,84.15701143
SFMBT1,Bleomycin,0.944444444,84.15701143
SLC37A4,Bleomycin,0.944444444,84.15701143
TGFBR3,Bleomycin,0.944444444,100
WRAP73,Bleomycin,0.944444444,84.15701143
DKK1,Bleomycin,1,86.25355359
EMP3,Bleomycin,1,86.25355359
FGFR1,Bleomycin,1,86.25355359
PPP1R3C,Bleomycin,1,86.25355359
SLC7A5,Bleomycin,1,86.25355359
SLIT2,Bleomycin,1,86.25355359
TFPI2,Bleomycin,1,100
TGM2,Bleomycin,1,86.25355359
TPBG,Bleomycin,1,86.25355359
CDH1,Bleomycin,0.888888889,81.67959634
ETFDH,Bleomycin,0.888888889,81.67959634
GAD1,Bleomycin,0.888888889,82.7450871
SLC2A3,Bleomycin,0.888888889,100
IGFBP4,Bleomycin,1,85.12839665
MATN2,Bleomycin,1,85.12839665
NFKB1,Bleomycin,1,98.69552396
PTX3,Bleomycin,1,85.12839665
RHOB,Bleomycin,1,98.69552396
STC1,Bleomycin,1,85.12839665
VEGFC,Bleomycin,1,85.12839665
XPNPEP1,Bleomycin,1,85.12839665
BCKDHB,Bleomycin,0.944444444,85.12839665
CD82,Bleomycin,0.944444444,100
EPS8L2,Bleomycin,0.944444444,85.12839665
GABARAPL1,Bleomycin,0.944444444,85.12839665
GCNT2,Bleomycin,0.944444444,85.12839665
HSPB8,Bleomycin,0.944444444,98.69552396
UGDH,Bleomycin,0.944444444,100
VDR,Bleomycin,0.944444444,85.12839665
GSN,Bleomycin,1,88.69125644
PEX14,Bleomycin,1,100
ADH5,Bleomycin,0.888888889,85.3198951
FASN,Bleomycin,0.888888889,85.3198951
FDFT1,Bleomycin,0.888888889,85.3198951
GNB2,Bleomycin,0.888888889,85.3198951
HOMER2,Bleomycin,0.888888889,85.3198951
RAC1,Bleomycin,0.888888889,100
SRI,Bleomycin,0.888888889,85.3198951
SLC22A5,Bleomycin,0.888888889,92.09430513
TNC,Bleomycin,0.888888889,92.09430513
BNIP3L,Bleomycin,0.888888889,100
NMT1,Bleomycin,0.888888889,85.12839665
TGIF2,Bleomycin,0.888888889,85.12839665
TNFRSF12A,Bleomycin,0.888888889,98.69552396
NDRG2,Bleomycin,0.944444444,100
GPX2,Bleomycin,0.833333333,90.95522401
PEF1,Bleomycin,0.833333333,83.46688085
ADAM9,Bleomycin,1,91.55619913
HRAS,Bleomycin,1,84.01837768
IL17RB,Bleomycin,1,100
AK4,Bleomycin,1,91.55619913
MGLL,Bleomycin,1,84.01837768
PRSS23,Bleomycin,1,92.53383082
NOTCH1,Bleomycin,1,82.7450871
PDK1,Bleomycin,1,81.67959634
BMP2,Bleomycin,0.833333333,80.14242098
CTSO,Bleomycin,0.833333333,80.14242098
GM2A,Bleomycin,0.833333333,80.14242098
ID2,Bleomycin,0.833333333,80.14242098
ST6GALNAC2,Bleomycin,0.833333333,91.3864637
CDKN2A,Bleomycin,1,98.83082042
CFI,Bleomycin,1,86.6708361
ECH1,Bleomycin,1,86.6708361
ENDOD1,Bleomycin,1,86.6708361
PLOD2,Bleomycin,1,86.6708361
PPARG,Bleomycin,1,86.6708361
PRKAR2B,Bleomycin,1,86.6708361
TPST1,Bleomycin,1,86.6708361
A2M,Bleomycin,1,89.50559238
MATN3,Bleomycin,1,100
SPHK1,Bleomycin,1,89.50559238
BLVRB,Bleomycin,1,88.69125644
BTG2,Bleomycin,1,100
CALB2,Bleomycin,1,89.84821263
IER5,Bleomycin,1,98.95453277
TPD52L1,Bleomycin,1,88.69125644
TGFBI,Bleomycin,0.833333333,88.74673707
CYP4F11,Bleomycin,1,100
MET,Bleomycin,1,97.88459119
SLC3A2,Bleomycin,1,88.55888779
AKT3,Bleomycin,0.833333333,86.6708361
AREG,Bleomycin,0.833333333,86.6708361
BMP1,Bleomycin,0.833333333,86.6708361
COL6A2,Bleomycin,0.833333333,100
ELOVL5,Bleomycin,0.833333333,86.6708361
ILVBL,Bleomycin,0.833333333,98.83082042
PLAT,Bleomycin,0.833333333,98.83082042
PLOD1,Bleomycin,0.833333333,86.6708361
SERPINE2,Bleomycin,0.833333333,86.6708361
SGCB,Bleomycin,0.833333333,86.6708361
TBC1D30,Bleomycin,0.833333333,98.83082042
TNNI1,Bleomycin,0.833333333,100
WWC1,Bleomycin,0.833333333,86.6708361
IGFBP1,Bleomycin,1,90.68860349
NXT1,Bleomycin,1,100
BLCAP,Bleomycin,0.944444444,89.62829085
FARP1,Bleomycin,0.944444444,100
CTGF,Bleomycin,0.833333333,86.25355359
GDA,Bleomycin,0.833333333,86.25355359
MYL9,Bleomycin,0.833333333,86.25355359
TGFB2,Bleomycin,0.833333333,100
TPM2,Bleomycin,0.833333333,86.25355359
VIM,Bleomycin,0.833333333,86.25355359
VTN,Bleomycin,0.833333333,86.25355359
GBE1,Bleomycin,1,85.3198951
CACNA2D2,Bosutinib,1,85.3198951
CADM1,Bosutinib,1,85.3198951
CD82,Bosutinib,1,85.3198951
CYR61,Bosutinib,1,85.3198951
GM2A,Bosutinib,1,98.71232142
ICAM1,Bosutinib,1,100
ID2,Bosutinib,1,85.3198951
IL1B,Bosutinib,1,85.3198951
KRT17,Bosutinib,1,85.3198951
MGAT1,Bosutinib,1,85.3198951
NMU,Bosutinib,1,85.3198951
NXT1,Bosutinib,1,85.3198951
PSMB10,Bosutinib,1,98.71232142
PTGER4,Bosutinib,1,85.3198951
SLC6A8,Bosutinib,1,85.3198951
SYMPK,Bosutinib,1,85.3198951
ZFP36,Bosutinib,1,85.3198951
IL11,Bosutinib,1,90.79747043
SLC3A2,Bosutinib,1,89.62829085
STAT2,Bosutinib,1,95.92699158
TMEM158,Bosutinib,1,89.62829085
ETS1,Bosutinib,1,100
HDAC9,Bosutinib,1,90.68860349
RAB27A,Bosutinib,1,89.50559238
BHLHE40,Bosutinib,0.944444444,82.67580826
CALB2,Bosutinib,0.944444444,82.67580826
CDKN2B,Bosutinib,0.944444444,82.67580826
DUSP1,Bosutinib,0.944444444,82.67580826
IFI35,Bosutinib,0.944444444,82.67580826
IL15RA,Bosutinib,0.944444444,95.65319963
IL17RB,Bosutinib,0.944444444,82.67580826
JUNB,Bosutinib,0.944444444,82.67580826
LDLRAP1,Bosutinib,0.944444444,96.9009727
MVP,Bosutinib,0.944444444,82.67580826
RPL39,Bosutinib,0.944444444,95.65319963
RRP8,Bosutinib,0.944444444,82.67580826
SLC25A28,Bosutinib,0.944444444,100
TFPI2,Bosutinib,0.944444444,82.67580826
FUCA1,Bosutinib,0.888888889,81.60290797
LIMA1,Bosutinib,0.888888889,100
BMP2,Bosutinib,0.888888889,88.69125644
CDKN2A,Bosutinib,0.888888889,100
FARP1,Bosutinib,0.888888889,82.09635051
TGM2,Bosutinib,0.888888889,89.84821263
DEPTOR,Bosutinib,1,100
FUT4,Bosutinib,1,90.79747043
IGFBP6,Bosutinib,1,89.62829085
CCL20,Bosutinib,0.888888889,89.60774496
GCNT1,Bosutinib,0.888888889,88.42338369
TNFSF9,Bosutinib,0.888888889,98.92976855
ACTN1,Bosutinib,0.944444444,81.52606249
ANKH,Bosutinib,0.944444444,95.76835192
C1R,Bosutinib,0.944444444,81.52606249
FOXC1,Bosutinib,0.944444444,81.52606249
HRAS,Bosutinib,0.944444444,81.52606249
IFITM3,Bosutinib,0.944444444,81.52606249
LCP1,Bosutinib,0.944444444,81.52606249
LPAR1,Bosutinib,0.944444444,81.52606249
PPP1R15A,Bosutinib,0.944444444,81.52606249
TSPO,Bosutinib,0.944444444,81.52606249
WRAP73,Bosutinib,0.944444444,81.52606249
G0S2,Bosutinib,1,83.11713486
GADD45A,Bosutinib,1,84.20137797
INHBA,Bosutinib,1,82.03289175
RPS6KA2,Bosutinib,1,84.20137797
SGK1,Bosutinib,1,83.11713486
SPARC,Bosutinib,1,83.11713486
CD44,Bosutinib,0.944444444,85.3198951
CDH4,Bosutinib,0.944444444,92.65994755
CNN2,Bosutinib,0.944444444,92.65994755
MVD,Bosutinib,0.944444444,98.71232142
NOTCH1,Bosutinib,0.944444444,98.71232142
PTX3,Bosutinib,0.944444444,91.37226897
RAB40C,Bosutinib,0.944444444,85.3198951
SLIT2,Bosutinib,0.944444444,85.3198951
ST6GALNAC2,Bosutinib,0.944444444,85.3198951
VEGFC,Bosutinib,0.944444444,91.37226897
SOD2,Bosutinib,1,81.1581889
DHRS3,Bosutinib,0.888888889,91.08434556
DYRK3,Bosutinib,0.888888889,84.2219763
JAG1,Bosutinib,0.888888889,89.88046779
MMP14,Bosutinib,0.888888889,91.08434556
PHLDA3,Bosutinib,0.888888889,100
SLC7A5,Bosutinib,0.888888889,91.08434556
CDH13,Bosutinib,0.833333333,83.46688085
FERMT2,Bosutinib,0.833333333,91.92643853
HIF1A,Bosutinib,0.833333333,81.31731055
JAK2,Bosutinib,0.833333333,83.46688085
ARID5B,Bosutinib,0.888888889,85.12839665
AUTS2,Bosutinib,0.888888889,92.56419833
CAPG,Bosutinib,0.888888889,85.12839665
HSPB8,Bosutinib,0.888888889,85.12839665
IL16,Bosutinib,0.888888889,100
OAS3,Bosutinib,0.888888889,85.12839665
SERPINE1,Bosutinib,0.861111111,90.79747043
C1S,Bosutinib,1,100
ANXA1,Bosutinib,0.888888889,98.69552396
RRAD,Bosutinib,0.888888889,86.43287269
STAT5A,Bosutinib,0.888888889,86.43287269
AARS,Bosutinib,1,100
IMPA2,Bosutinib,1,85.3198951
SPHK1,Bosutinib,1,85.3198951
VWA5A,Bosutinib,1,98.71232142
COX6C,Bosutinib,0.944444444,100
GADD45B,Bosutinib,1,97.42464284
HR,Bosutinib,1,85.3198951
OSMR,Bosutinib,1,85.3198951
PRKG2,Bosutinib,1,98.71232142
XAF1,Bosutinib,1,85.3198951
KCNMB2,Bosutinib,0.833333333,100
LAMC2,Bosutinib,0.833333333,99.44972405
NBL1,Bosutinib,0.833333333,90.68860349
PARD6G,Bosutinib,0.833333333,89.50559238
PIM1,Bosutinib,0.888888889,83.67118577
ADM,Bosutinib,0.833333333,100
ATF3,Bosutinib,0.833333333,82.79404249
CEBPA,Bosutinib,0.833333333,82.79404249
DSC3,Bosutinib,0.833333333,98.49076399
EMP2,Bosutinib,0.833333333,82.79404249
FDXR,Bosutinib,0.833333333,100
IER5,Bosutinib,0.833333333,82.79404249
ISOC1,Bosutinib,0.833333333,82.79404249
KCNN4,Bosutinib,0.833333333,82.79404249
KLF4,Bosutinib,0.833333333,100
MYC,Bosutinib,0.833333333,82.79404249
PHLDA2,Bosutinib,0.833333333,82.79404249
PMEPA1,Bosutinib,0.833333333,82.79404249
SYK,Bosutinib,0.833333333,82.79404249
TP63,Bosutinib,0.833333333,82.79404249
IER2,Bosutinib,1,100
DHCR7,Bosutinib,0.833333333,100
DUSP5,Bosutinib,0.833333333,88.55888779
FSCN1,Bosutinib,0.833333333,89.72938613
PMAIP1,Bosutinib,0.833333333,88.55888779
SERPINB5,Bosutinib,0.833333333,89.72938613
PSMA2,Bosutinib,0.833333333,100
TRIM21,Bosutinib,0.833333333,90.47275645
CD274,Bosutinib,1,80.35932093
NOD1,Bosutinib,1,88.80933631
TP53,Bosutinib,1,80.35932093
TRIM14,Bosutinib,1,89.90527669
ETS2,Bosutinib,0.888888889,91.57297033
IFIH1,Bosutinib,0.888888889,89.43166539
IFIT3,Bosutinib,0.888888889,91.57297033
ITGB2,Bosutinib,0.888888889,91.57297033
MYL9,Bosutinib,0.888888889,90.50231786
ELF4,Bosutinib,0.944444444,89.84821263
TNNI1,Bosutinib,0.944444444,89.84821263
SOCS3,Bosutinib,1,88.033219
F3,Bosutinib,1,81.1581889
DLG1,Bosutinib,0.888888889,100
KAZN,Bosutinib,0.888888889,88.58909795
ELF3,Bosutinib,0.833333333,100
LITAF,Bosutinib,0.833333333,90.68860349
PDGFA,Bosutinib,0.833333333,90.68860349
LY75,Bosutinib,1,98.71232142
PLOD3,Bosutinib,1,85.3198951
TRIM29,Bosutinib,1,100
TRIB2,Bosutinib,1,100
HADH,Bosutinib,1,83.61270188
PELI1,Bosutinib,1,91.14803835
ENO2,Bosutinib,1,86.10488697
PER1,Bosutinib,1,86.10488697
SLC7A11,Bosutinib,0.888888889,100
CCR7,Bosutinib,1,90.13435139
FAS,Bosutinib,1,84.90708286
GPX1,Bosutinib,1,97.90906554
TPM2,Bosutinib,0.888888889,94.50420724
HSPB8,Bupalisib,0.8,98.98483503
ITGB4,Bupalisib,0.8,100
PRKAB1,Bupalisib,0.8,90.03419878
ACSS2,Bupalisib,0.85,82.79404249
ADAM8,Bupalisib,0.85,96.98152798
BHLHE40,Bupalisib,0.85,100
DDIT4,Bupalisib,0.85,82.79404249
FBLN1,Bupalisib,0.85,100
FGF2,Bupalisib,0.85,82.79404249
HPGD,Bupalisib,0.85,82.79404249
HSD17B7,Bupalisib,0.85,82.79404249
LATS2,Bupalisib,0.85,82.79404249
REEP6,Bupalisib,0.85,82.79404249
RHBDF2,Bupalisib,0.85,82.79404249
SORD,Bupalisib,0.85,82.79404249
STEAP3,Bupalisib,0.85,82.79404249
DHCR7,Bupalisib,0.8,89.60774496
LGALS3BP,Bupalisib,0.8,100
NOTCH1,Bupalisib,0.8,88.42338369
ASNS,Bupalisib,0.85,100
FABP5,Bupalisib,0.85,90.68860349
GADD45B,Bupalisib,0.85,98.93098861
TBC1D30,Bupalisib,0.85,99.44972405
CA12,Bupalisib,0.8,84.93183606
COL5A2,Bupalisib,0.8,84.93183606
CTNNB1,Bupalisib,0.8,98.67828247
ELF1,Bupalisib,0.8,84.93183606
FOXC1,Bupalisib,0.8,100
FSTL1,Bupalisib,0.8,91.1442005
MVK,Bupalisib,0.8,84.93183606
RXRA,Bupalisib,0.8,100
SAMD9L,Bupalisib,0.8,84.93183606
SCD,Bupalisib,0.8,84.93183606
TGFBR3,Bupalisib,0.8,84.93183606
TSPAN1,Bupalisib,0.8,84.93183606
MAST4,Bupalisib,0.85,83.22948646
PARP12,Bupalisib,0.85,89.68930931
PLK3,Bupalisib,0.85,89.68930931
