cell_line,agent,type,Subtype1,Subtype2,GR50,GRmax,GR_AOC,GEC50,Grinf,h_GR,r2_GR,pval_GR,flat_fit_GR,IC50,Emax,AUC,EC50,Einf,h,r2_IC,pval_IC,flat_fit_IC,MedianGR50,SubMedianGR50,MedianGR50,SubMedianGR50,MedianGRmax
KKU-055,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.010921709,-0.797025586,1.212691785,0.089460858,-0.937042106,0.502148348,0.967687144,0.000000197,NA,0.011596685,0.000997703,0.111017697,0.011100646,0.072964115,3.178865359,0.831620404,0.003200287,NA,-1.125571368,-0.836138031,-1.125571368,-0.836138031,-0.68612477
KKU-100,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.009765625,-0.916936904,1.464758206,0.027923593,-1,0.499512628,0.967874552,0.000000215,NA,0.011291955,0.009400742,0.166769669,0.011009036,0.008139048,0.64497654,0.967911106,0.00000022,NA,-1.125571368,-0.884728589,-1.125571368,-0.884728589,-0.68612477
KKU-156,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.325356132,-0.397565699,0.56295333,0.563048254,-0.367259821,1.004394801,0.986595486,3.77E-09,NA,0.26069147,0.035424128,0.496997833,0.234974149,0.06468561,1.333830088,0.996739688,6.46E-12,NA,-1.125571368,0.637930364,-1.125571368,0.637930364,-0.68612477
KKU-213,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.252827515,-0.68612477,0.640336103,1.309622688,-0.954798292,0.650068179,0.958864123,0.000000581,NA,0.175400124,0.006280255,0.449623189,0.156744794,0.070350131,1.348733339,0.991555656,4.69E-10,NA,-1.125571368,0.528395704,-1.125571368,0.528395704,-0.68612477
KKU-214,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.308829297,-0.529033487,0.60340846,0.493443113,-0.417645161,1.29613201,0.98619688,4.29E-09,NA,0.30919917,0.032899599,0.525188317,0.28115035,0.073964128,1.683082395,0.997546559,1.89E-12,NA,-1.125571368,0.615289861,-1.125571368,0.615289861,-0.68612477
KKK-D068,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.210675402,-0.4893958,0.683782066,0.33969081,-0.422354055,1.282486845,0.992499871,2.75E-10,NA,0.302628906,0.100738247,0.54239587,0.243080114,0.138844782,1.485251394,0.995672069,2.31E-11,NA,-1.125571368,0.449185199,-1.125571368,0.449185199,-0.68612477
KKK-D131,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.475033775,-0.092519323,0.431084985,0.480482357,-0.008601462,1.512064402,0.989221964,1.61E-09,NA,0.569269909,0.205087214,0.654018364,0.373043127,0.256797323,1.706474093,0.993701241,1.40E-10,NA,-1.125571368,0.802295857,-1.125571368,0.802295857,-0.68612477
KKK-D138,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.054425962,-0.881598742,1.083380897,0.089560937,-0.630463284,1.639551659,0.976221766,5.03E-08,NA,0.0904933,0.027908984,0.398857552,0.077143645,0.128504564,1.861581029,0.986009729,4.92E-09,NA,-1.125571368,-0.138622518,-1.125571368,-0.138622518,-0.68612477
RBE,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.097946335,-0.215583701,0.698441837,0.113438722,-0.099926361,1.240856381,0.985186725,5.88E-09,NA,0.103091857,0.113873596,0.417255042,0.077207363,0.158557525,1.319384133,0.993097573,1.96E-10,NA,-1.125571368,0.116559558,-1.125571368,0.116559558,-0.68612477
SSP-25,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.053480754,-0.741164939,0.948128287,0.338141515,-0.939996975,0.573615135,0.930187724,0.000006285,NA,0.049609555,0.0082462,0.300975994,0.043986553,0.090615481,1.662389159,0.965739671,0.000000255,NA,-1.125571368,-0.146231111,-1.125571368,-0.146231111,-0.68612477
TFK-1,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.022439445,-0.461781049,0.985108807,0.150481337,-0.715464072,0.467254409,0.951002995,0.000001275,NA,0.056785005,0.106965775,0.339273694,0.048565183,0.038270325,0.514803898,0.957013937,0.000000713,NA,-1.125571368,-0.523416521,-1.125571368,-0.523416521,-0.68612477
YSCCC,Mitomycin C,Chemotherapeutic drug,Alkylating_agent,Alkylating_agent,0.074890828,-0.743124929,0.875627976,0.519671333,-0.979465593,0.560274585,0.984594546,7.35E-09,NA,0.183807407,0.044363132,0.446913833,0.16779991,0.03057077,0.684493044,0.985735219,4.98E-09,NA,-1.125571368,0,-1.125571368,0,-0.68612477
HuCCA-1,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,10,0.682350273,-0.031790992,1.438999703,0.868054499,2.505,0.564678899,0.108671899,NA,10,0.880405077,1.010594667,1.444331659,0.947480638,2.505,0.580415127,0.092274432,NA,0.584461413,0.415538587,0.584461413,0.415538587,-0.678199996
HuCCT-1,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,2.961848201,-0.826448007,0.230840209,5.099546648,-1,2.021908462,0.942700077,0.00000258,NA,3.053111605,0.008018477,0.833268781,3.053111605,0,1.695992652,0.962931817,0.000000372,NA,0.584461413,-0.112898616,0.584461413,-0.112898616,-0.678199996
HuH-28,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,2.105756393,-0.999662474,0.260517843,3.518129057,-1,2.148330582,0.953639036,0.00000363,NA,4.283525597,0.001659312,0.881812086,4.283525597,0,2.436892101,0.959211803,0.000000971,NA,0.584461413,-0.261053285,0.584461413,-0.261053285,-0.678199996
KKU-055,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,0.923648108,-0.748667158,0.501091039,2.059861082,-0.987359878,1.37171077,0.99232032,7.15E-10,NA,0.794869018,0.004267706,0.603133594,0.794869018,0,1.411268294,0.971080815,0.000000323,NA,0.584461413,-0.618954868,0.584461413,-0.618954868,-0.678199996
KKU-100,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,3.841151287,-0.770091595,0.160222807,5.596015006,-1,2.929163076,0.976212285,0.0000001,NA,3.615629125,0.007690818,0.893884669,3.615629125,0,2.48557969,0.949170512,0.00000765,NA,0.584461413,0,0.584461413,0,-0.678199996
KKU-156,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,3.085877324,-0.693061976,0.009910171,5.185733922,-1,2.118015064,0.802287358,0.000679741,NA,2.726,0.006993214,1.142648152,1.056064131,0.612059527,2.447130248,0.480899912,0.052467176,NA,0.584461413,-0.095082755,0.584461413,-0.095082755,-0.678199996
KKU-213,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,2.452604834,-0.678199996,0.242462726,4.954331577,-1,1.577514836,0.935576514,0.00000746,NA,1.837315077,0.005169329,0.790808777,1.787944564,0.029963103,1.872478346,0.910388716,0.0000608,NA,0.584461413,-0.194833833,0.584461413,-0.194833833,-0.678199996
KKU-214,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,1.462465178,-0.540674466,0.307550416,4.233305339,-1,1.034049123,0.943815581,0.0000026,NA,1.013788065,0.023095223,0.739787225,0.877649501,0.145701069,2.38415411,0.96611065,0.000000283,NA,0.584461413,-0.419375878,0.584461413,-0.419375878,-0.678199996
KKK-D068,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,4.176596324,-0.519724532,0.056124081,6.525765893,-1,2.465499568,0.903864702,0.0000525,NA,5.30324573,0.129341208,0.976265457,5.30324573,0,2.519707737,0.863601812,0.000229806,NA,0.584461413,0.036361089,0.584461413,0.036361089,-0.678199996
KKK-D131,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,10,-0.709908369,-0.375396636,0,1.283916596,0.01,0.382799155,0.114731476,1.283916596,10,0.065448819,1.303843741,0,1.24875071,0.01,0.119646273,0.566887643,1.24875071,0.584461413,0.415538587,0.584461413,0.415538587,-0.678199996
KKK-D138,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,1.910515876,-0.775705983,0.276341183,3.781098938,-1,1.609354745,0.977912925,3.57E-08,NA,2.531031843,0.032248982,0.826715539,2.531031843,0,1.742974931,0.976903569,4.37E-08,NA,0.584461413,-0.303310762,0.584461413,-0.303310762,-0.678199996
RBE,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,5.809381139,0.06723875,-0.01536882,5.795177095,0.00545176,5,0.878337919,0.000143501,NA,6.219764756,0.277478696,1.033255217,5.447609084,0.241647459,5,0.80414001,0.001135402,NA,0.584461413,0.179668458,0.584461413,0.179668458,-0.678199996
SSP-25,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,5.227073469,-0.582162517,-0.000707772,7.028045925,-1,3.75970101,0.902684282,0.000140975,NA,5.504243651,0.045519631,1.03898379,5.504243651,0,4.430068315,0.782565175,0.004724179,NA,0.584461413,0.133797192,0.584461413,0.133797192,-0.678199996
TFK-1,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,4.46160735,-0.178398998,0.073564201,6.520735478,-0.624674025,2.331936928,0.944433498,0.0000159,NA,4.622317488,0.143823502,0.95444172,4.505487914,0.035068918,2.555757105,0.89534668,0.000268285,NA,0.584461413,0.065029934,0.584461413,0.065029934,-0.678199996
YSCCC,Sunitinib,Targeted drug,RTK_signaling_VEGFR,RTK_signaling_VEGFR,5.550169795,-0.303480313,-0.10547645,6.288750688,-0.435102967,5,0.745535611,0.002253187,NA,7.647179104,0.367805551,1.048966821,6.321097704,0.302282226,5,0.755275706,0.001905127,NA,0.584461413,0.159844857,0.584461413,0.159844857,-0.678199996
HuCCA-1,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.009765625,-0.765058885,1.106391688,0.133828265,-1,0.284554287,0.908337568,0.0000214,NA,0.021244666,0.04458339,0.320426854,0.021244666,0,0.306321999,0.924486938,0.00000894,NA,-1.611096273,-0.399203683,-1.611096273,-0.399203683,-0.668139951
HuCCT-1,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.049846811,-0.488781982,0.762631324,1.590370016,-1,0.317224917,0.894038064,0.0000413,NA,0.033481285,0.023038943,0.29870608,0.024299364,0.103411341,0.724377102,0.96504645,0.000000283,NA,-1.611096273,0.308733652,-1.611096273,0.308733652,-0.668139951
HuH-28,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.022898626,-0.993297609,1.193291256,0.143735755,-1,0.598076896,0.945925878,0.00000199,NA,0.220489284,0.008489408,0.448823805,0.220489284,0,0.616026962,0.943552485,0.000002415,NA,-1.611096273,-0.029094303,-1.611096273,-0.029094303,-0.668139951
KKU-055,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.282960261,-0.631494591,0.644698987,1.417681066,-1,0.681723085,0.995525736,2.76E-11,NA,0.195066232,0.008191995,0.439066377,0.195066232,0,0.938574333,0.997935001,8.40E-13,NA,-1.611096273,1.062821721,-1.611096273,1.062821721,-0.668139951
KKU-100,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.024485204,-0.935893542,1.140359801,0.178297573,-1,0.55335339,0.934735698,0.00000465,NA,0.015898241,0.000305966,0.207224474,0.015898241,0,0.542041033,0.960051862,0.000000511,NA,-1.611096273,0,-1.611096273,0,-0.668139951
KKU-156,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.049026974,-0.757367938,0.98019904,0.20053946,-0.785885099,0.670570118,0.98859253,1.81E-09,NA,0.033105812,0.001269438,0.213641786,0.032446781,0.011125569,1.116471527,0.997552656,3.32E-12,NA,-1.611096273,0.301531362,-1.611096273,0.301531362,-0.668139951
KKU-213,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.0159124,-0.668139951,1.086621442,0.059995809,-0.60931217,0.601034477,0.9781663,3.45E-08,NA,0.014670088,0.007556721,0.162165118,0.013833748,0.025859993,0.904286033,0.995529168,3.59E-11,NA,-1.611096273,-0.187168039,-1.611096273,-0.187168039,-0.668139951
KKU-214,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.038575879,-0.632123378,0.922726184,0.473466091,-1,0.438134743,0.984621345,7.52E-09,NA,0.024228018,0.005613969,0.214181938,0.023359301,0.01385189,0.769086267,0.996327822,1.12E-11,NA,-1.611096273,0.197412104,-1.611096273,0.197412104,-0.668139951
KKK-D068,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.079566643,-0.349821122,0.780401613,0.2238536,-0.454203133,0.625195051,0.994925175,1.16E-10,NA,0.245778148,0.193303374,0.500820977,0.13807422,0.159488143,0.665373785,0.994501499,1.55E-10,NA,-1.611096273,0.511827308,-1.611096273,0.511827308,-0.668139951
KKK-D131,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.05417785,-0.360980588,0.776535309,0.146253486,-0.350021563,0.534361252,0.951604746,0.00000122,NA,0.082095085,0.107166969,0.404125599,0.046293003,0.176255291,0.758630203,0.967723644,0.000000196,NA,-1.611096273,0.34491804,-1.611096273,0.34491804,-0.668139951
KKK-D138,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.012794887,-0.882333071,1.218005669,0.10723963,-1,0.516665821,0.996547552,9.60E-12,NA,0.018698586,0.003623033,0.202119463,0.018698586,0,0.637793259,0.994598339,6.77E-11,NA,-1.611096273,-0.281867272,-1.611096273,-0.281867272,-0.668139951
RBE,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.066679446,-0.592160771,0.796615992,1.028962368,-1,0.399395239,0.922059803,0.0000151,NA,0.046527221,0.017595718,0.321152603,0.046527221,0,0.456818668,0.90499188,0.000137824,NA,-1.611096273,0.435088256,-1.611096273,0.435088256,-0.668139951
SSP-25,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.022185598,-0.687440316,0.925044273,0.495985083,-1,0.352378645,0.946490276,0.00000237,NA,0.02414106,0.01728736,0.287183523,0.02414106,0,0.404068684,0.972782893,0.000000102,NA,-1.611096273,-0.042832587,-1.611096273,-0.042832587,-0.668139951
TFK-1,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.009765625,-0.281785835,0.870082185,1.398544519,-1,0.17645813,0.926541309,0.00000794,NA,0.023687156,0.166639763,0.373405613,0.018968939,0.023738882,0.220131879,0.937077307,0.00000408,NA,-1.611096273,-0.399203683,-1.611096273,-0.399203683,-0.668139951
YSCCC,Omipalisib,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.018970232,-0.974212662,1.233048683,0.116714527,-1,0.604639931,0.981234669,1.72E-08,NA,0.038001742,0.000981937,0.263047054,0.038001742,0,0.634765959,0.986749912,3.75E-09,NA,-1.611096273,-0.110831085,-1.611096273,-0.110831085,-0.668139951
HuCCA-1,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.707169244,1.362046455,0.011542109,-1,0.245905401,0.914511756,0.0000159,NA,0.009765625,0.122576597,0.289021828,0.0000977,0.073804866,0.156711343,0.677222539,0.006175275,NA,-2.010299957,0,-2.010299957,0,-0.666865303
HuCCT-1,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.540944567,1.253785586,0.006251529,-1,0.13818734,0.842741063,0.000245626,NA,0.009765625,0.03181327,0.104981567,0.0000489,0.07409543,0.18906156,0.420842671,0.250355923,NA,-2.010299957,0,-2.010299957,0,-0.666865303
HuH-28,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.337259594,1.121778215,0.0000977,-0.552261228,0.123725936,0.814938248,0.000759763,NA,0.009765625,0.302935858,0.410935198,0.000230653,0.256789918,0.207426889,0.751018868,0.005884744,NA,-2.010299957,0,-2.010299957,0,-0.666865303
KKU-055,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.829785661,1.679183411,0.000402439,-0.930089187,0.310998883,0.950591534,0.00000181,NA,0.009765625,0.001426045,0.01043685,0,0.010984814,0.01,2.11E-08,0.999999906,0.010984814,-2.010299957,0,-2.010299957,0,-0.666865303
KKU-100,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.666865303,1.665639816,0,-0.665087555,0.01,0.013973675,0.940122987,-0.665087555,0.009765625,0.069248053,0.069752951,0,0.069924884,0.01,3.10E-09,0.999999983,0.069924884,-2.010299957,0,-2.010299957,0,-0.666865303
KKU-156,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.788762333,1.253994897,0.041082284,-1,0.276920088,0.902307187,0.0000289,NA,0.009765625,0.002537462,0.09110138,0.001123702,0.012878508,0.508931496,0.949393782,0.00000155,NA,-2.010299957,0,-2.010299957,0,-0.666865303
KKU-213,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.762645393,1.39066313,0.017308715,-1,0.311368241,0.944315716,0.00000231,NA,0.009765625,0.006019716,0.077188889,0.0000977,0,0.321530683,0.886383931,0.000057,NA,-2.010299957,0,-2.010299957,0,-0.666865303
KKU-214,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.599613385,1.263455684,0.0000977,-0.62291417,0.160980216,0.635383058,0.01067363,NA,0.009765625,0.018712399,0.094095404,0.007569864,0.07973955,4.975260533,0.72152681,0.00318205,NA,-2.010299957,0,-2.010299957,0,-0.666865303
KKK-D068,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.440253116,1.313780632,0.001362682,-0.437661072,0.506748912,0.937678425,0.00000551,NA,0.009765625,0.152200774,0.207237122,0.0000977,0.116008551,0.280248022,0.909401918,0.0000233,NA,-2.010299957,0,-2.010299957,0,-0.666865303
KKK-D131,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.841421413,1.345884551,0.029138409,-1,0.336315785,0.869509152,0.000104789,NA,0.009765625,0.014718947,0.177847599,0.00244475,0,0.344516504,0.865013348,0.000121999,NA,-2.010299957,0,-2.010299957,0,-0.666865303
KKK-D138,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.7682046,1.672536972,0.000422338,-0.81869119,0.414766495,0.941905426,0.00000329,NA,0.009765625,0.033275429,0.059856112,0.000261735,0.048325152,0.356465124,0.649251397,0.050430407,NA,-2.010299957,0,-2.010299957,0,-0.666865303
RBE,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.496584255,1.162931971,0.013373461,-0.780246214,0.140459364,0.822980123,0.001124285,NA,0.009765625,0.080774987,0.208224282,0.0000977,0.000000163,0.171789687,0.88113579,0.000079,NA,-2.010299957,0,-2.010299957,0,-0.666865303
SSP-25,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.549593498,1.334124666,0.003488613,-1,0.158986051,0.968343766,0.000000179,NA,0.009765625,0.01909182,0.059678465,0.0000977,0.019561884,0.43724844,0.882343132,0.0000689,NA,-2.010299957,0,-2.010299957,0,-0.666865303
TFK-1,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.597711672,1.302149922,0.020573588,-0.929599581,0.288786472,0.901223027,0.0000301,NA,0.009765625,0.06049036,0.173216931,0.001949448,0,0.335941826,0.897923945,0.0000349,NA,-2.010299957,0,-2.010299957,0,-0.666865303
YSCCC,Camptothecin,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.842095144,1.380040536,0.009505848,-1,0.248749407,0.848413286,0.000207644,NA,0.009765625,0.023459874,0.186268632,0.001072905,0,0.280668708,0.853254692,0.000181022,NA,-2.010299957,0,-2.010299957,0,-0.666865303
HuCCA-1,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.426219658,1.031975892,0.01651565,-0.255972747,0.760422598,0.853945783,0.000173915,NA,0.021158889,0.141680941,0.328375886,0.013090788,0.253849274,1.482762345,0.884900316,0.00005965,NA,-1.694724746,-0.31557521,-1.694724746,-0.31557521,-0.577263823
HuCCT-1,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.026478008,-0.307095578,0.969116239,0.030642337,-0.178505286,2.091126331,0.980336318,2.13E-08,NA,0.027641831,0.089470197,0.256009771,0.024026268,0.13264209,2.199797196,0.993641106,1.31E-10,NA,-1.694724746,0.117610055,-1.694724746,0.117610055,-0.577263823
HuH-28,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.37616758,1.348829953,0.009200343,-0.381238477,5,0.962535272,0.000000663,NA,0.013212249,0.408628515,0.421155632,0.009450655,0.406085652,5,0.956038639,0.00000119,NA,-1.694724746,-0.31557521,-1.694724746,-0.31557521,-0.577263823
KKU-055,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.812302428,1.585010762,0.008016628,-0.722841291,1.108652753,0.925053136,0.000008845,NA,0.005258474,0.000351802,0.012302533,0.005248423,0.002783503,2.917170166,0.994644518,6.47E-11,NA,-1.694724746,-0.31557521,-1.694724746,-0.31557521,-0.577263823
KKU-100,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.009765625,-0.679563944,1.510875874,0.007702112,-0.574922337,2.028048594,0.915083852,0.0000152,NA,0.005777264,0.021997473,0.058548546,0.00556723,0.040737766,2.29758387,0.971907612,0.000000106,NA,-1.694724746,-0.31557521,-1.694724746,-0.31557521,-0.577263823
KKU-156,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.05548899,-0.591491932,0.86160378,0.075725259,-0.269746005,1.387197932,0.92778162,0.00000738,NA,0.040852411,0.004560693,0.253338119,0.039109506,0.057429191,2.799928265,0.992471446,2.83E-10,NA,-1.694724746,0.438931566,-1.694724746,0.438931566,-0.577263823
KKU-213,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.021665163,-0.711521483,1.053768365,0.051875975,-0.485071695,0.784143505,0.886163396,0.0000567,NA,0.019638335,0.002115304,0.152464776,0.01882843,0.04509249,2.239866892,0.989406358,1.30E-09,NA,-1.694724746,0.030486707,-1.694724746,0.030486707,-0.577263823
KKU-214,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.032862418,-0.402284161,0.957107547,0.038514861,-0.212398146,2.231053984,0.972318332,9.83E-08,NA,0.028167976,0.024104953,0.203599265,0.026854002,0.060311226,2.699753158,0.996959655,5.34E-12,NA,-1.694724746,0.211424262,-1.694724746,0.211424262,-0.577263823
KKK-D068,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.028266008,-0.359268019,1.052268686,0.034980789,-0.301562861,2.213024251,0.994355253,1.16E-10,NA,0.036261823,0.151260629,0.316103342,0.030229701,0.17638093,2.396461611,0.996835626,7.40E-12,NA,-1.694724746,0.145989224,-1.694724746,0.145989224,-0.577263823
KKK-D131,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.018402785,-0.867912772,1.106307091,0.132075442,-0.878845223,0.520326287,0.869471213,0.000105215,NA,0.028269241,0.006894152,0.268631398,0.024411237,0.139722412,2.232505514,0.928301639,0.00000718,NA,-1.694724746,-0.040391701,-1.694724746,-0.040391701,-0.577263823
KKK-D138,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.02019646,-0.731346863,1.376384871,0.033278834,-0.694871148,1.744678202,0.993136906,1.88E-10,NA,0.023949437,0.021874137,0.163529707,0.023240725,0.03155488,2.170843755,0.998311109,3.37E-13,NA,-1.694724746,0,-1.694724746,0,-0.577263823
RBE,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.014998477,-0.438157561,1.058316632,0.018817107,-0.219418756,1.603851052,0.921974749,0.00001102,NA,0.019304572,0.095458974,0.262171565,0.015166992,0.181200633,1.872730123,0.963230234,0.000000357,NA,-1.694724746,-0.129228092,-1.694724746,-0.129228092,-0.577263823
SSP-25,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.027488912,-0.577263823,1.123584383,0.035390475,-0.401038636,2.333497504,0.958287431,0.00000063,NA,0.030320047,0.041882289,0.237045699,0.02834001,0.093279953,3.058118724,0.988038994,2.26E-09,NA,-1.694724746,0.133882297,-1.694724746,0.133882297,-0.577263823
TFK-1,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.030559899,-0.4538977,0.942461407,0.104167479,-0.519173947,0.580728003,0.95587878,0.000000805,NA,0.025177431,0.027611523,0.221523032,0.022010473,0.079728205,1.292278164,0.96222085,0.000000396,NA,-1.694724746,0.179876661,-1.694724746,0.179876661,-0.577263823
YSCCC,Topotecan,Chemotherapeutic drug,Topoisomerase,Topoisomerase,0.013983054,-0.645719591,1.292383817,0.024031256,-0.542068067,1.358100512,0.981450931,3.01E-08,NA,0.032168067,0.145348008,0.318542567,0.022629622,0.195458721,1.411861535,0.983218132,1.94E-08,NA,-1.694724746,-0.159673219,-1.694724746,-0.159673219,-0.577263823
HuCCA-1,BAY11-7082,Targeted drug,NF_kB,NF_kB,0.805641116,-0.918960255,0.576517956,1.552517454,-1,1.676653493,0.984283895,1.95E-08,NA,1.030842725,0.006146879,0.653730683,1.030842725,0,1.576936449,0.97944114,0.000000118,NA,0.43484479,-0.528703168,0.43484479,-0.528703168,-0.567819895
HuCCT-1,BAY11-7082,Targeted drug,NF_kB,NF_kB,2.536999601,-0.59705282,0.242293296,2.977077115,-0.602847101,4.948686918,0.987770705,2.53E-09,NA,2.539673471,0.02193717,0.852340353,2.53798575,0.001430854,3.995564757,0.964958401,0.000000287,NA,0.43484479,-0.030524391,0.43484479,-0.030524391,-0.567819895
HuH-28,BAY11-7082,Targeted drug,NF_kB,NF_kB,0.34054376,-0.991975191,0.717653094,1.018892237,-1,1.00295309,0.956817135,0.000000892,NA,2.574707521,0.136163416,0.761401063,2.574707521,0,1.253643548,0.945550039,0.00000217,NA,0.43484479,-0.902671863,0.43484479,-0.902671863,-0.567819895
KKU-055,BAY11-7082,Targeted drug,NF_kB,NF_kB,0.24207016,-0.50896376,0.654014413,1.971205329,-1,0.523266769,0.894512771,0.0000406,NA,0.09399165,0.016640264,0.384263777,0.09399165,0,0.434005961,0.883025687,0.0000683,NA,0.43484479,-1.050903533,0.43484479,-1.050903533,-0.567819895
KKU-100,BAY11-7082,Targeted drug,NF_kB,NF_kB,1.517289388,-0.828324349,0.417782505,2.587492847,-0.981863247,2.037850493,0.994209994,1.21E-10,NA,1.834341606,0.016234432,0.735338141,1.834341606,0,2.087532283,0.990453227,8.14E-10,NA,0.43484479,-0.25377637,0.43484479,-0.25377637,-0.567819895
KKU-156,BAY11-7082,Targeted drug,NF_kB,NF_kB,2.27482163,-0.597694614,0.272436958,4.656147431,-1,1.533806912,0.982602836,1.21E-08,NA,2.089169319,0.020480459,0.772858968,2.032069177,0.03462868,2.232856894,0.98686364,5.45E-09,NA,0.43484479,-0.077897441,0.43484479,-0.077897441,-0.567819895
KKU-213,BAY11-7082,Targeted drug,NF_kB,NF_kB,6.808059006,0.072421591,0.052924771,8.272412004,-0.437896173,3.143047211,0.990241867,9.51E-10,NA,7.268993455,0.275027882,0.958871052,7.056635017,0.040857969,3.22245315,0.983292163,1.01E-08,NA,0.43484479,0.398178521,0.43484479,0.398178521,-0.567819895
